"Id","orgs_id","name","url","full_name","size","stargazers_count","watchers_count","language","has_issues","forks_count","open_issues_count","forks","open_issues","watchers"
9083382,"2966316","availability-proxy-for-rest-services","https://api.github.com/repos/AzureAD/availability-proxy-for-rest-services","AzureAD/availability-proxy-for-rest-services",690,3,3,"C#","1",2,0,"1",0,3
10182011,"2966316","passport-azure-ad","https://api.github.com/repos/AzureAD/passport-azure-ad","AzureAD/passport-azure-ad",599,88,88,"JavaScript","1",58,30,"1",30,88
14703038,"2966316","azure-activedirectory-library-for-objc","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-objc","AzureAD/azure-activedirectory-library-for-objc",13937,87,87,"Objective-C","1",52,19,"1",19,87
14703238,"2966316","azure-activedirectory-library-for-android","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-android","AzureAD/azure-activedirectory-library-for-android",34320,68,68,"Java","1",54,49,"1",49,68
16500615,"1844662","active-directory-node-webapi","https://api.github.com/repos/Azure-Samples/active-directory-node-webapi","Azure-Samples/active-directory-node-webapi",128,45,45,"JavaScript","1",23,3,"1",3,45
17009674,"1844662","active-directory-php-graphapi-directoryextensions-web","https://api.github.com/repos/Azure-Samples/active-directory-php-graphapi-directoryextensions-web","Azure-Samples/active-directory-php-graphapi-directoryextensions-web",78,4,4,"PHP","1",3,1,"1",1,4
17009687,"1844662","active-directory-dotnet-graphapi-directoryextensions-web","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-graphapi-directoryextensions-web","Azure-Samples/active-directory-dotnet-graphapi-directoryextensions-web",12390,5,5,"C#","1",5,3,"1",3,5
17496194,"2966316","azure-activedirectory-identitymodel-extensions-for-dotnet","https://api.github.com/repos/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet","AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet",3692,147,147,"C#","1",58,28,"1",28,147
17718863,"1844662","active-directory-ios","https://api.github.com/repos/Azure-Samples/active-directory-ios","Azure-Samples/active-directory-ios",284,18,18,"Objective-C","1",12,4,"1",4,18
17718888,"1844662","active-directory-android","https://api.github.com/repos/Azure-Samples/active-directory-android","Azure-Samples/active-directory-android",1558,5,5,"Java","1",7,7,"1",7,5
17844974,"1844662","active-directory-dotnet-graphapi-web","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-graphapi-web","Azure-Samples/active-directory-dotnet-graphapi-web",48910,54,54,"C#","1",45,24,"1",24,54
17923502,"2966316","azure-activedirectory-library-for-nodejs","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-nodejs","AzureAD/azure-activedirectory-library-for-nodejs",363,38,38,"JavaScript","1",44,38,"1",38,38
18086059,"1844662","active-directory-dotnet-webapp-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-openidconnect","Azure-Samples/active-directory-dotnet-webapp-openidconnect",1092,64,64,"JavaScript","1",41,13,"1",13,64
18129389,"1844662","active-directory-dotnet-webapp-multitenant-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-multitenant-openidconnect","Azure-Samples/active-directory-dotnet-webapp-multitenant-openidconnect",34645,64,64,"C#","1",37,15,"1",15,64
18159423,"1844662","active-directory-dotnet-webapp-webapi-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect","Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect",1294,37,37,"C#","1",41,1,"1",1,37
18194258,"1844662","active-directory-xamarin-ios","https://api.github.com/repos/Azure-Samples/active-directory-xamarin-ios","Azure-Samples/active-directory-xamarin-ios",3212,3,3,"C#","1",3,2,"1",2,3
18194518,"1844662","active-directory-dotnet-windows-store","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-windows-store","Azure-Samples/active-directory-dotnet-windows-store",867,8,8,"C#","1",9,2,"1",2,8
18217208,"1844662","active-directory-dotnet-native-desktop","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-native-desktop","Azure-Samples/active-directory-dotnet-native-desktop",1295,22,22,"C#","1",45,0,"1",0,22
18245596,"1844662","active-directory-dotnet-daemon","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-daemon","Azure-Samples/active-directory-dotnet-daemon",1121,34,34,"C#","1",19,5,"1",5,34
18254648,"1844662","active-directory-dotnet-daemon-certificate-credential","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-daemon-certificate-credential","Azure-Samples/active-directory-dotnet-daemon-certificate-credential",1121,10,10,"C#","1",7,6,"1",6,10
18267134,"1844662","active-directory-dotnet-webapp-webapi-oauth2-appidentity","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-appidentity","Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-appidentity",791,29,29,"C#","1",15,3,"1",3,29
18301682,"1844662","active-directory-dotnet-webapp-webapi-multitenant-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-webapi-multitenant-openidconnect","Azure-Samples/active-directory-dotnet-webapp-webapi-multitenant-openidconnect",29742,37,37,"C#","1",25,20,"1",20,37
18302428,"1844662","active-directory-dotnet-webapi-onbehalfof","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapi-onbehalfof","Azure-Samples/active-directory-dotnet-webapi-onbehalfof",1624,25,25,"C#","1",17,2,"1",2,25
18345271,"1844662","active-directory-dotnet-webapp-webapi-oauth2-useridentity","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-useridentity","Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-useridentity",1237,32,32,"C#","1",20,2,"1",2,32
18368798,"1844662","active-directory-java-graphapi-web","https://api.github.com/repos/Azure-Samples/active-directory-java-graphapi-web","Azure-Samples/active-directory-java-graphapi-web",5170,7,7,"Java","1",15,2,"1",2,7
18371697,"1844662","active-directory-php-graphapi-web","https://api.github.com/repos/Azure-Samples/active-directory-php-graphapi-web","Azure-Samples/active-directory-php-graphapi-web",26,17,17,"PHP","1",10,3,"1",3,17
18373952,"1844662","active-directory-dotnet-graphapi-diffquery","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-graphapi-diffquery","Azure-Samples/active-directory-dotnet-graphapi-diffquery",105,5,5,"C#","1",2,3,"1",3,5
18598682,"2966316","azure-activedirectory-library-for-java","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-java","AzureAD/azure-activedirectory-library-for-java",9401,39,39,"Java","1",48,13,"1",13,39
18666659,"1844662","active-directory-dotnet-webapi-multitenant-windows-store","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapi-multitenant-windows-store","Azure-Samples/active-directory-dotnet-webapi-multitenant-windows-store",47232,11,11,"C#","1",10,4,"1",4,11
18772862,"1844662","active-directory-xamarin-android","https://api.github.com/repos/Azure-Samples/active-directory-xamarin-android","Azure-Samples/active-directory-xamarin-android",890,9,9,"C#","1",4,1,"1",1,9
18819494,"1844662","active-directory-dotnet-webapi-manual-jwt-validation","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapi-manual-jwt-validation","Azure-Samples/active-directory-dotnet-webapi-manual-jwt-validation",735,7,7,"C#","1",9,6,"1",6,7
19123031,"2966316","azure-activedirectory-library-for-dotnet","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-dotnet","AzureAD/azure-activedirectory-library-for-dotnet",7877,94,94,"C#","1",78,34,"1",34,94
19161311,"1844662","active-directory-dotnet-rms","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-rms","Azure-Samples/active-directory-dotnet-rms",12248,4,4,"C#","1",5,3,"1",3,4
19257899,"1844662","active-directory-dotnet-webapp-wsfederation","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-wsfederation","Azure-Samples/active-directory-dotnet-webapp-wsfederation",670,26,26,"JavaScript","1",20,3,"1",3,26
19990198,"2966316","azure-activedirectory-library-for-js","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-js","AzureAD/azure-activedirectory-library-for-js",1616,187,187,"JavaScript","1",113,35,"1",35,187
20158247,"1844662","active-directory-dotnet-graphapi-console","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-graphapi-console","Azure-Samples/active-directory-dotnet-graphapi-console",6127,43,43,"C#","1",49,24,"1",24,43
20506861,"2966316","rms-sdk-ui-for-android","https://api.github.com/repos/AzureAD/rms-sdk-ui-for-android","AzureAD/rms-sdk-ui-for-android",2584,1,1,"Java","1",3,0,"1",0,1
20506890,"2966316","rms-sdk-ui-for-ios","https://api.github.com/repos/AzureAD/rms-sdk-ui-for-ios","AzureAD/rms-sdk-ui-for-ios",27721,6,6,"Objective-C","1",1,1,"1",1,6
20746559,"1844662","active-directory-dotnet-windowsphone-8.1","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-windowsphone-8.1","Azure-Samples/active-directory-dotnet-windowsphone-8.1",724,10,10,"C#","1",16,6,"1",6,10
21551897,"1844662","active-directory-dotnet-native-headless","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-native-headless","Azure-Samples/active-directory-dotnet-native-headless",499,15,15,"C#","1",12,7,"1",7,15
21920634,"1844662","active-directory-dotnet-webapp-groupclaims","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-groupclaims","Azure-Samples/active-directory-dotnet-webapp-groupclaims",1674,25,25,"C#","1",27,18,"1",18,25
